The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 5, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1500                         10                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                            0                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            3                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

Sample input file
 The initial temperature is: 138.346


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
             71          10.35       -3595.83        1729.19       -5325.01       -5928.62         4.4917              1
             72         10.355        -3595.4        1725.45       -5320.85       -5956.32        4.50576              1
             73          10.36       -3595.41        1722.23       -5317.64       -5980.27        4.51792              1
             74         10.365       -3595.41        1719.33       -5314.74       -6003.09         4.5296              1
             75          10.37       -3595.11        1716.18       -5311.29       -6029.13        4.54303              1
             76         10.375       -3595.09        1712.47       -5307.56       -6058.44        4.55804              1
             77          10.38       -3594.88        1708.15       -5303.03       -6092.37        4.57541              1
             78         10.385       -3594.84        1703.25       -5298.09       -6129.38        4.59425              1
             79          10.39       -3595.02        1697.74       -5292.76       -6169.11        4.61432              1
             80         10.395       -3595.25        1691.67       -5286.91       -6211.48        4.63561              1
             81           10.4       -3595.13        1685.31       -5280.44       -6255.42        4.65765              1
             82         10.405       -3595.46        1679.43       -5274.89       -6293.23        4.67638              1
             83          10.41       -3595.28        1675.19       -5270.47       -6319.72        4.68943              1
             84         10.415       -3595.29        1673.71       -5269.01       -6325.13        4.69174              1
             85          10.42       -3595.12        1675.63       -5270.75        -6306.4        4.68187              1
             86         10.425       -3595.15        1680.99       -5276.14       -6262.18        4.65909              1
             87          10.43        -3595.5        1689.36       -5284.86        -6195.4        4.62482              1
             88         10.435       -3595.73        1699.98       -5295.71       -6113.04        4.58274              1
             89          10.44       -3595.58        1711.97       -5307.56       -6022.47        4.53665              1
             90         10.445       -3595.84        1724.49       -5320.33       -5927.94        4.48855              1
             91          10.45       -3596.03        1736.51       -5332.54       -5838.62        4.44321              1
             92         10.455       -3596.34        1746.51       -5342.85       -5764.88        4.40582              1
             93          10.46       -3596.04        1752.76        -5348.8       -5721.11        4.38381              1
             94         10.465       -3595.66        1754.18       -5349.84       -5713.09        4.37994              1
             95          10.47       -3595.86        1751.09       -5346.95       -5736.49        4.39185              1
             96         10.475       -3595.69        1744.85       -5340.53       -5784.25        4.41621              1
             97          10.48       -3595.61        1736.97       -5332.58          -5844        4.44663              1
             98         10.485       -3595.45        1728.55          -5324       -5908.05        4.47926              1
             99          10.49       -3595.71        1720.49        -5316.2       -5968.08        4.50974              1
            100         10.495       -3595.64        1713.78       -5309.42       -6019.11        4.53574              1


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            101           10.5       -3595.96        1709.33       -5305.29        -6052.5        4.55272              1
            102         10.505       -3596.42        1707.48        -5303.9       -6066.56        4.55988              1
            103          10.51        -3596.6        1707.67       -5304.27       -6066.42        4.55991              1
            104         10.515       -3596.42        1708.77       -5305.19       -6060.09        4.55684              1
            105          10.52       -3596.41        1709.86       -5306.26       -6052.46          4.553              1
            106         10.525       -3596.59        1710.69       -5307.28       -6045.17        4.54921              1
            107          10.53       -3595.82        1711.58       -5307.39       -6039.68        4.54652              1
            108         10.535       -3596.22        1712.93       -5309.15       -6027.01        4.53988              1
            109          10.54       -3596.24        1714.84       -5311.08       -6011.33        4.53181              1
            110         10.545       -3596.34        1717.06        -5313.4       -5993.22        4.52248              1
            111          10.55       -3596.63        1719.04       -5315.67        -5976.2        4.51366              1
