The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Sample input file
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                       120.27                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            0                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

 The coordinates are generated by putting atoms on a periodic lattice.
 The velocities are taken from a Maxwellian distribution.
 The initial temperature is: 119.366


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
             70          0.345       -3598.59         1726.8       -5325.39        -5605.5        4.30078              1
             71           0.35       -3598.46           1716       -5314.46       -5693.67        4.34615              1
             72          0.355       -3598.26        1704.96       -5303.22       -5781.27        4.39106              1
             73           0.36       -3598.26        1694.54        -5292.8       -5861.26        4.43187              1
             74          0.365       -3598.37        1685.73        -5284.1       -5926.89         4.4652              1
             75           0.37       -3598.08        1679.85       -5277.92       -5970.72        4.48745              1
             76          0.375       -3598.03        1678.48        -5276.5       -5980.43        4.49235              1
             77           0.38       -3597.96        1682.62       -5280.58       -5950.52        4.47723              1
             78          0.385       -3597.75        1691.63       -5289.37       -5886.62        4.44504              1
             79           0.39       -3597.78        1703.01       -5300.78       -5805.28          4.404              1
             80          0.395        -3597.6        1713.77       -5311.37       -5729.03        4.36559              1
             81            0.4       -3597.96         1721.9       -5319.85       -5670.13        4.33581              1
             82          0.405       -3597.44        1726.83       -5324.27       -5637.12        4.31934              1
             83           0.41        -3597.2        1729.07       -5326.27       -5623.55        4.31269              1
             84          0.415       -3597.04        1729.38       -5326.43       -5624.82        4.31362              1
             85           0.42       -3597.09        1728.35       -5325.44        -5636.5        4.31987              1
             86          0.425       -3597.28        1726.29       -5323.57       -5656.38        4.33032              1
             87           0.43       -3597.22        1723.44       -5320.66       -5683.48        4.34454              1
             88          0.435       -3597.18        1720.18       -5317.36       -5714.17        4.36063              1
             89           0.44       -3597.37         1716.9       -5314.27       -5744.92        4.37674              1
             90          0.445       -3597.71        1713.82       -5311.53        -5774.1        4.39206              1
             91           0.45       -3597.72        1711.02       -5308.74       -5802.59        4.40713              1
             92          0.455       -3597.94        1708.35       -5306.29       -5829.58        4.42139              1
             93           0.46       -3597.61         1705.6       -5303.21       -5858.51        4.43674              1
             94          0.465       -3597.66        1702.62       -5300.28       -5887.38        4.45193              1
             95           0.47       -3597.78        1699.52        -5297.3       -5916.22        4.46703              1
             96          0.475        -3597.6        1696.81       -5294.41       -5942.36        4.48077              1
             97           0.48       -3597.62        1695.45       -5293.07       -5957.73        4.48899              1
             98          0.485       -3597.51        1696.43       -5293.94       -5956.57        4.48888              1
             99           0.49       -3597.54        1700.09       -5297.63       -5935.82        4.47886              1
            100          0.495       -3597.32        1705.66       -5302.98       -5902.11        4.46235              1


   Total mass                       :               1000
   Coordinates of the center of mass:            5.20961        5.17775        5.26075
   Velocity of the center of mass   :         0.00411343       -0.03896     -0.0399279
   Translational kinetic energy     :            1.56452


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            101            0.5       -3597.46         1711.6       -5309.06       -5864.44        4.44374              1
            102          0.505       -3597.05        1716.44       -5313.49       -5835.93        4.42986              1
            103           0.51       -3597.05        1719.34       -5316.39       -5819.77        4.42208              1
            104          0.515        -3597.2        1719.87       -5317.07       -5819.94        4.42249              1
            105           0.52       -3597.12        1717.62       -5314.74       -5840.33        4.43313              1
            106          0.525       -3597.26        1712.54       -5309.79       -5879.88        4.45335              1
            107           0.53       -3597.28        1705.54       -5302.82       -5933.03        4.48042              1
            108          0.535       -3596.74        1698.72       -5295.46       -5986.62        4.50785              1
            109           0.54       -3596.57        1694.52       -5291.09          -6021        4.52555              1
            110          0.545       -3596.53        1694.48          -5291       -6026.14        4.52854              1
            111           0.55       -3596.78        1698.53       -5295.31       -6001.76        4.51662              1
            112          0.555       -3597.19         1705.4       -5302.59       -5957.06        4.49443              1
            113           0.56       -3596.87        1713.43        -5310.3       -5905.82        4.46909              1
            114          0.565       -3597.31         1721.4       -5318.71       -5852.18         4.4423              1
            115           0.57       -3597.74        1728.57       -5326.31       -5803.75         4.4181              1
            116          0.575       -3597.34        1734.42       -5331.76       -5766.97        4.39995              1
            117           0.58       -3597.27        1738.33       -5335.61       -5742.75        4.38804              1
            118          0.585        -3597.4        1739.67       -5337.07       -5736.11        4.38493              1
            119           0.59       -3597.23        1738.07        -5335.3       -5751.13        4.39281              1
            120          0.595       -3597.28        1733.79       -5331.07       -5784.54        4.40989              1
            121            0.6       -3597.22        1727.81       -5325.03       -5830.62        4.43341              1
            122          0.605       -3596.93        1721.56       -5318.49       -5879.86        4.45862              1
            123           0.61       -3597.08        1716.38       -5313.46       -5920.91        4.47967              1
            124          0.615       -3597.21        1713.04       -5310.25        -5949.7        4.49459              1
            125           0.62       -3597.07        1711.48       -5308.55       -5967.22        4.50395              1
            126          0.625       -3596.85         1710.9       -5307.75       -5977.96        4.50992              1
