The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Sample input file
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          1
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                       120.27                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            0                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

 The coordinates are generated by putting atoms on a periodic lattice.
 The velocities are taken from a Maxwellian distribution.
 The initial temperature is: 119.366


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

              1              0       -3591.42        1488.98        -5080.4       -7055.33        5.01168        1.00019
              2          0.005       -3590.86        1474.63       -5065.48       -7167.14        5.06885        1.00018
              3           0.01       -3589.55        1431.68       -5021.23       -7498.21        5.23784        1.00068
              4          0.015       -3586.67        1363.18       -4949.86       -8032.91        5.51129        1.00171
              5           0.02       -3583.01        1273.58       -4856.58       -8739.15        5.87299        1.00332
              6          0.025       -3577.24        1169.26        -4746.5       -9575.79        6.30253        1.00558
              7           0.03       -3567.91         1059.1       -4627.02       -10483.6        6.77042        1.00855
              8          0.035       -3552.73         954.44       -4507.17       -11387.7        7.23929        1.01218
              9           0.04       -3532.11        868.072       -4400.18       -12194.2        7.66169        1.01613
             10          0.045       -3506.49        811.752       -4318.24       -12816.1        7.99344        1.01968
             11           0.05       -3476.95        793.004       -4269.96       -13192.7        8.20336        1.02179
             12          0.055       -3445.64        812.749       -4258.39       -13304.2        8.28034        1.02171
             13           0.06       -3413.77        865.109       -4278.88       -13179.3        8.23778        1.01962
             14          0.065       -3383.44         939.49       -4322.93       -12877.2        8.10418        1.01642
             15           0.07       -3356.47        1023.78       -4380.25       -12471.2        7.91553        1.01302
             16          0.075        -3333.3        1107.13       -4440.43       -12034.4        7.70822        1.01001
             17           0.08       -3313.98        1181.59       -4495.57       -11624.2        7.51126        1.00759
